cust_code,cust_name,feed_no_invoice_number,feeddate,lrno,lrdate,ordno,orddate,cases,freight,coment,subtotal,sumproddis,sumschdis,sumdis,sumsgst,sumcgst,sumigst,adjust,debitamt,creditamt,rounding,netamt,prodcode,prodname,packing,batchno,qty,freeqty,rate,provalue,idisper,imark,expirys,mrp,mrpincl,comcode,comname,mfgdate,mfgcode,mfgname,retprice,sgstper,cgstper,igstper,hsn,igstbill,email_id
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,TLAP,TOPLAP SMALL,10GM,T2115,1,0,163.51,163.51,-2,,01-10-2024,254.35,,1CUR,CURATIO HEALTHCARE PVT.LTD 119,,44,CURATIO HEALTHCARE PVT.LTD 119,181.68,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,GRILS,GRILINTUS SYP,100ML,FEK5KC4,2,0,81,162,-2,,01-01-2024,126,,AAFR,FRANCO INDIA 425,,63,FRANCO INDIA 425,90,6,6,0,30049093,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,ACING,ACNICIN GEL,15GM,EC2013001,1,0,124.59,124.59,-2,,01-12-2023,193.8,,ALDM,ALEMBIC DERMA 291,,9,ALEMBIC DERMA 291,138.43,6,6,0,30042095,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,CED,CANDID EAR DROPS,10ML,11220075,1,0,56.25,56.25,-2,,31-12-2024,87.5,,GMI,GLENMARK MILIEUS 102,,23,GLENMARK MILIEUS 102,62.5,6,6,0,30049029,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,TTEG,TENOVATE GN CREAM,20GM,842S,1,0,53.42,53.42,-2,,01-04-2023,83.1,,GSK2,GSK-2 DERMA 207,,14,GSK-2 DERMA 207,59.36,6,6,0,30043200,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,PGELL,PHYSIOGEL LOTION,100ML,750821,1,0,297.15,297.15,-2,,01-07-2024,487,,GSKD,GSK-7 DERMA 2 254,,14,GSK-7 DERMA 2 254,330.17,9,9,0,33049990,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,DERAFW,DERMADEW ACNE FACE WASH,100ML,B034,2,0,176.95,353.9,-2,,31-01-2024,290,,HHH,H&H HEALTHCARE 422,,43,H&H HEALTHCARE 422,196.61,9,9,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,336001,FUDIC CREAM 5GM,5GM,C184,2,0,32.86,65.72,-2,,01-11-2023,51.11,,HHH,H&H HEALTHCARE 422,,43,H&H HEALTHCARE 422,36.51,6,6,0,30049087,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,TNERV,TRANSNERV,10,T092106K,2,0,140.79,281.58,-2,,01-10-2023,219,,IJP2,PRIMUS 2 391,,52,PRIMUS 2 391,156.43,6,6,0,30045039,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,TVAM,TENIVA M,20,N2201035,1,0,205.71,205.71,-2,,31-03-2024,320,,INSU,INTAS SUPRIVA 238,,26,INTAS SUPRIVA 238,228.57,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,AVAST1,ARVAST 10,15,N2200326,1,0,142.71,142.71,-2,,01-01-2025,222,,INTS,INTAS SUPRIMA 424,,26,INTAS SUPRIMA 424,158.57,6,6,0,30049079,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20007E+13,20-05-2022,,,2.20008E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,SOFSF,SOFTOVAC SF,100GM,A22027SD,1,0,118.93,118.93,-2,,31-12-2024,185,,LUO,LUPIN OTC 503,,28,LUPIN OTC 503,132.14,6,6,0,30039011,0,medcorppharmacy2016@gmail.com
