cust_code,cust_name,feed_no_invoice_number,feeddate,lrno,lrdate,ordno,orddate,cases,freight,coment,subtotal,sumproddis,sumschdis,sumdis,sumsgst,sumcgst,sumigst,adjust,debitamt,creditamt,rounding,netamt,prodcode,prodname,packing,batchno,qty,freeqty,rate,provalue,idisper,imark,expirys,mrp,mrpincl,comcode,comname,mfgdate,mfgcode,mfgname,retprice,sgstper,cgstper,igstper,hsn,igstbill,email_id
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,OTL3,OXETOL 300,10,SID0039A,1,0,72,72,-2,,31-12-2024,112,,SUCA,SUN SEPHEUS 499,,36,SUN SEPHEUS 499,80,6,6,0,30049082,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,NTP,NEXITO PLUS,10,SID0357A,3,0,66.21,198.63,-2,,31-01-2024,103,,SUSY,SUN SUNERGY 262,,36,SUN SUNERGY 262,73.57,6,6,0,30049079,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,NTO5,NEXITO 5,10,SID0020A,3,0,32.9,98.7,-2,,31-12-2023,51.18,,SUSY,SUN SUNERGY 262,,36,SUN SUNERGY 262,36.56,6,6,0,30049079,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,MOX4,MOXIF 400,5,2359H004,1,0,91.35,91.35,-2,,30-11-2024,142.1,,TVI,TORRENT VISTA  54,,37,TORRENT VISTA  54,101.5,6,6,0,30042039,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,TE4,TELSARTAN 40,14,E2201104,2,0,73.37,146.74,-2,,30-09-2024,114.13,,ZDX2,DRL XENURA 2 339,,20,DRL XENURA 2 339,81.52,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,CNA2,CLARINOVA 250,6,B3AFU011,1,0,67.15,67.15,-2,,01-11-2023,104.46,,ZMKP,MANKIND PHARMA 374,,47,MANKIND PHARMA 374,74.61,6,6,0,30042063,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,MGAMO,MAHAGABA M OD,10,D9GKU008,1,0,89.36,89.36,-2,,30-11-2023,139,,ZMKP,MANKIND PHARMA 374,,47,MANKIND PHARMA 374,99.29,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,AZAC,AZAC SOAP,75GM,AZ-38,3,0,65.93,197.79,-2,,01-08-2024,105,,ZMRK,MARK 384,,49,MARK 384,74.15,9,9,0,34011110,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,PVSTA2,PIVASTA 2,10,BEY1007,1,0,116.74,116.74,-2,,31-12-2023,181.6,,ZYC,ZYDUS (C&E) 99,,39,ZYDUS (C&E) 99,129.71,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,OCET,OKACET 10,10,C111509,12,0,4.18,50.16,-2,,01-09-2024,18.5,,ZZC1,GENERIC CIPLA 1 443,,68,GENERIC CIPLA 1 443,4.65,6,6,0,30049031,0,medcorppharmacy2016@gmail.com
M163,MEDCORP PHARMACY(P)LTD,2.20E+13,20-05-2022,,,2.20E+13,20-05-2022,,,,3502.14,-70.02,0,-70.02,240.3,240.3,0,2458,0,2458,1,1595,378001,CASTER NF CREAM 25,25GM,DLWH1161,2,0,28.42,56.84,-2,,01-07-2023,105,,ZZL2,LEEFORD 2 GENERIC 446,,67,LEEFORD 2 GENERIC 446,31.58,6,6,0,30049099,0,medcorppharmacy2016@gmail.com
